rp	i	en	kr	jp	cn	desc
[--Log in--]	15	Log in	로그인	ログイン	登入	
[--Sign up for Recoeve--]	16	Sign up for Recoeve	Recoeve 가입하기	Recoeve 登録	Recoeve 注册	
[--ID or E-mail is empty.--]	20	ID or E-mail is empty.	아이디/이메일을 입력해주세요.	ID /メールアドレスを入力してください。	ID/請輸入您的電子郵件。	
[--ID or E-mail is too short.--]	21	ID or E-mail is too short.	아이디/이메일이 너무 짧습니다.	ID /メールアドレスが短すぎます。	用戶名/電子郵件太短。	
[--Password is empty.--]	22	Password is empty.	비밀번호를 입력해주세요.	パスワードを入力してください。	請輸入您的密碼。	
[--Password is too short.--]	23	Password is too short.	비밀번호가 너무 짧습니다.	パスワードが短すぎます。	密碼太短。	
[--Password is too long.--]	24	Password is too long.	비밀번호가 너무 깁니다.	パスワードが長すぎます。	密碼太長。	
[--is of invalid form.--]	25	is of invalid form.	은 잘못된 형식입니다.	は無効な形式です。	這是錯誤的類型。	
[--Checking ID/E-mail--]	30	Checking ID/E-mail	아이디/이메일을 확인중입니다.	ID /電子メールを確認しています。	ID/檢查電子郵件。	
[--Request times out.--]	31	Request times out.	요청이 중단되었습니다.	リクエストが中断されました。	請求被中止。	
[--Please click the Log-in button again.--]	32	Please click the Log-in button again.	로그인 버튼을 다시 클릭해주세요.	ログインボタンをもう一度クリックしてください。	再次登錄按鈕點擊。	
[--Password is being encrypted.--]	33	Password is being encrypted.	비밀번호가 암호화되고 있습니다.	パスワードが暗号化されています。	你的密碼進行加密。	
[--Logging in--]	34	Logging in	로그인 중입니다.	ログイン中です。	您登錄。	
[--Please wait.--]	35	Please wait.	잠시만 기다려 주세요.	しばらくお待ちください。	請稍候	
[--ID is empty.--]	40	ID is empty.	아이디를 입력해주세요.	IDを入力してください。	請輸入您的用戶名。	
[--ID is too short.--]	41	ID is too short.	아이디가 너무 짧습니다.	ユーザ名が短すぎます。	用戶名是太短了。	
[--ID is too long.--]	42	ID is too long.	아이디가 너무 깁니다.	ユーザ名が長すぎます。	用戶名太長。	
[--length--]	43	length	길이	長さ	長度	
[--E-mail is empty.--]	44	E-mail is empty.	이메일을 입력해주세요.	メールアドレスを入力してください。	請輸入您的電子郵件。	
[--Confirm your password correctly.--]	50	Confirm your password correctly.	비밀번호가 일치하지 않습니다.	パスワードが一致しません。	密碼不匹配。	
[--Checking ID and E-mail--]	60	Checking ID and E-mail	아이디와 이메일을 확인중입니다.	ユーザ名とメールを確認しています。	檢查您的用戶名和電子郵件。	
[--Please click the Sign-up button again.--]	61	Please click the Sign-up button again.	가입하기 버튼을 다시 클릭해주세요.	登録ボタンをもう一度クリックしてください。	請再次點擊加入按鈕。	
[--Signing up--]	62	Signing up	가입 요청 중	登録要求の中で	登錄請求	
[--is already in use. Please try another ID.--]	63	is already in use. Please try another ID.	는 이미 사용중입니다.	は使用中です。	它已在使用中。	
[--is already registered. Please try another e-mail.--]	64	is already registered. Please try another e-mail.	는 이미 등록되어 있습니다.	はすでに登録されています。	它已被註冊。	
[--Log out--]	100	Log out	로그아웃			
[--Fuzzy Search--]	101	Fuzzy Search	검색			
[--Toggle style--]	102	Toggle style	스타일 바꾸기			
[--New Reco--]	103	New Reco	새 레코			
[--Short Keys--]	104	Short Keys	단축키			
[--Uncategorized--]	110	Uncategorized	분류없음			
[--Later--]	111	Later	나중에			
[--Indifferent--]	112	Indifferent	관심없음			
[--Shuffle--]	120	Shuffle	순서섞기			
[--Loop--]	121	Loop	전체반복			
[--One-loop--]	122	One-loop	한곡반복			
[--return to the original position--]	123	click me to return to the original position (static position)	클릭 - 원래 위치로	クリック - 元の場所に	點擊 - 到其初始位置	
[--stick to the right top--]	124	click me to stick to the right top (fixed position)	클릭 - 오른쪽 위 고정위치로	クリック - 右上の固定位置に	點擊 - 正上方的固定位置	
[--Title--]	130	Title	제목			
[--Categories--]	131	Categories	카테고리			
[--Description--]	132	Description	설명			
[--Comment--]	133	Comment	의견			
[--Points--]	134	Points	점수			
[--Reco--]	140	Reco	레코			
[--Edit--]	141	Edit	수정			
[--Del--]	142	Del	삭제			
[--Close--]	143	Close	닫기			
[--Back--]	144	Back	원래대로			
[--Change orders--]	150	Change orders	순서 바꾸기			
[--OK--]	151	OK	확인			
[--Cancel--]	152	Cancel	취소			
